date,units
2025-03-01,15.1
2025-03-02,14.3
2025-03-03,16.8
2025-03-04,15.5
2025-03-05,14.9
2025-03-06,13.7
2025-03-07,16.2
2025-03-08,17.0
2025-03-09,14.4
2025-03-10,13.8
2025-03-11,15.9
2025-03-12,16.4
2025-03-13,14.2
2025-03-14,15.7
2025-03-15,13.9
2025-03-16,12.6
2025-03-17,14.8
2025-03-18,15.4
2025-03-19,16.1
2025-03-20,13.2
2025-03-21,12.8
2025-03-22,14.6
2025-03-23,16.0
2025-03-24,13.7
2025-03-25,17.3
2025-03-26,14.5
2025-03-27,13.1
2025-03-28,15.4
2025-03-29,16.7
2025-03-30,17.2
2025-03-31,14.0
